timestamp,batch_id,event,status,machine,active_runtime_s,active_runtime_formatted,total_elapsed_s,total_elapsed_formatted,batch_duration_s,batch_duration_formatted,total_pause_s,total_pause_formatted,pause_count,avg_pause_duration_s,efficiency_percent,production_rate_per_hour,wifi_rssi,wifi_quality
2025-12-12 20:11:20,9,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-61,Fair
2025-12-12 20:11:34,9,PAUSE,PAUSED,Wood_Line_1,14,00:14,14,00:14,0,00:00,0,00:00,1,0,100.0,257.14,-62,Fair
2025-12-12 20:11:44,9,END,COMPLETED,Wood_Line_1,14,00:14,24,00:24,24,00:24,10,00:10,1,10,58.32,150.0,-61,Fair
2025-12-12 20:12:02,10,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-62,Fair
2025-12-12 20:13:02,10,STATUS,RUNNING,Wood_Line_1,60,01:00,60,01:00,0,00:00,0,00:00,0,0,100.0,60.0,-60,Fair
2025-12-12 20:14:02,10,STATUS,RUNNING,Wood_Line_1,120,02:00,120,02:00,0,00:00,0,00:00,0,0,100.0,30.0,-60,Fair
2025-12-12 20:14:19,10,END,COMPLETED,Wood_Line_1,136,02:16,136,02:16,136,02:16,0,00:00,0,0,100.0,26.47,-62,Fair
2025-12-12 20:15:19,11,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-65,Fair
2025-12-12 20:16:19,11,STATUS,RUNNING,Wood_Line_1,60,01:00,60,01:00,0,00:00,0,00:00,0,0,100.0,60.0,-61,Fair
2025-12-12 20:18:27,12,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-62,Fair
2025-12-12 20:19:27,12,STATUS,RUNNING,Wood_Line_1,60,01:00,60,01:00,0,00:00,0,00:00,0,0,100.0,60.0,-60,Fair
2025-12-12 20:20:27,12,STATUS,RUNNING,Wood_Line_1,120,02:00,120,02:00,0,00:00,0,00:00,0,0,100.0,30.0,-62,Fair
2025-12-12 20:21:27,12,STATUS,RUNNING,Wood_Line_1,180,03:00,180,03:00,0,00:00,0,00:00,0,0,100.0,20.0,-62,Fair
Uptime: 00:02:16,13,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-60,Fair
2025-12-12 20:31:29,13,STATUS,RUNNING,Wood_Line_1,60,01:00,60,01:00,0,00:00,0,00:00,0,0,100.0,60.0,-65,Fair
2025-12-12 20:31:58,13,END,COMPLETED,Wood_Line_1,89,01:29,89,01:29,89,01:29,0,00:00,0,0,100.0,40.45,-65,Fair
2025-12-12 20:33:26,14,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-65,Fair
2025-12-12 20:33:41,14,PAUSE,PAUSED,Wood_Line_1,14,00:14,14,00:14,0,00:00,0,00:00,1,0,100.0,257.14,-63,Fair
2025-12-12 20:34:00,14,RESUME,RUNNING,Wood_Line_1,14,00:14,33,00:33,0,00:00,19,00:19,1,19,42.12,257.14,-65,Fair
2025-12-12 20:34:23,14,END,COMPLETED,Wood_Line_1,37,00:37,56,00:56,56,00:56,19,00:19,1,19,65.91,64.29,-66,Fair
2025-12-12 20:38:12,15,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-62,Fair
2025-12-12 20:38:31,15,END,COMPLETED,Wood_Line_1,18,00:18,18,00:18,18,00:18,0,00:00,0,0,100.0,200.0,-62,Fair
2025-12-12 20:51:07,16,START,RUNNING,Wood_Line_1,0,00:00,0,00:00,0,00:00,0,00:00,0,0,0.0,0.0,-67,Fair
2025-12-12 20:51:20,16,PAUSE,PAUSED,Wood_Line_1,12,00:12,12,00:12,0,00:00,0,00:00,1,0,100.0,300.0,-67,Fair
2025-12-12 20:51:28,16,END,COMPLETED,Wood_Line_1,12,00:12,20,00:20,20,00:20,7,00:07,1,7,62.64,180.0,-65,Fair
